period,previous,variable,change,detail,share,country
2022Q3,2022Q2,q416nrworkers,labels_changed,99: '-' -> 'Unspecified',,zaf
2023Q1,2022Q4,q416nrworkers,labels_changed,99: 'Unspecified' -> '-',,zaf
2023Q1,2022Q4,q42occupation,labels_changed,5142: '-' -> '5142. Companions and valets',,zaf
2023Q2,2023Q1,q415typebusns,labels_changed,9: '-' -> 'Unspecified',,zaf
2023Q2,2023Q1,q416nrworkers,labels_changed,99: '-' -> 'Unspecified',,zaf
2023Q3,2023Q2,q415typebusns,labels_changed,9: 'Unspecified' -> '-',,zaf
2023Q3,2023Q2,q416nrworkers,labels_changed,99: 'Unspecified' -> '-',,zaf
2023Q4,2023Q3,q42occupation,labels_changed,9888: '-' -> 'Bootlegger',,zaf
2024Q1,2023Q4,q43industry,labels_changed,988: '-' -> 'Begging',,zaf
2024Q2,2024Q1,q415typebusns,labels_changed,9: '-' -> 'Unspecified',,zaf
2024Q2,2024Q1,q416nrworkers,labels_changed,99: '-' -> 'Unspecified',,zaf
2024Q3,2024Q2,q415typebusns,labels_changed,9: 'Unspecified' -> '-',,zaf
2025Q1,2024Q4,q42occupation,labels_changed,8154: '-' -> 'Chemical still and reactor operators (except petroleum and natural gas) ',,zaf
2025Q3,2025Q2,q416nrworkers,labels_changed,8: 'Do not know' -> '-'; 99: 'Unspecified' -> '-',,zaf
2025Q3,2025Q2,q45wrk4whom,labels_changed,1: 'Working for someone else for pay' -> 'As an employee'; 2: 'An employer (employing one or more employees)' -> 'In your own business'; 3: 'Own account worker (not employing any employees)' -> 'Helping in a family or household business'; 4: 'Helping without pay in a household business' -> 'As a pai,,zaf
2025Q3,2025Q2,q415typebusns,missing_share_jump,0.75 -> 1.00,,zaf
2025Q3,2025Q2,q415typebusns,codes_removed,"1,2,3,4,5,6",1.0,zaf
2025Q3,2025Q2,q416nrworkers,codes_removed,"8,99",0.0713,zaf
2025Q4,2025Q3,q17education,labels_changed,99: '-' -> 'Unspecified',,zaf
2025Q4,2025Q3,q44monthstart,labels_changed,9: 'Sepember' -> 'September',,zaf
2026Q1,2025Q4,q17education,labels_changed,99: 'Unspecified' -> '-',,zaf
2026Q1,2025Q4,q411contracttype,labels_changed,1: 'Yes' -> 'A written contract'; 2: 'No' -> 'A verbal agreement',,zaf
